Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      686     0.00     0.00  std::_Vector_base<rp::Base*, std::allocator<rp::Base*> >::_M_allocate(unsigned long)
  0.00      0.00     0.00      686     0.00     0.00  std::allocator_traits<std::allocator<rp::Base*> >::deallocate(std::allocator<rp::Base*>&, rp::Base**, unsigned long)
  0.00      0.00     0.00      686     0.00     0.00  std::allocator_traits<std::allocator<rp::Base*> >::allocate(std::allocator<rp::Base*>&, unsigned long)
  0.00      0.00     0.00      686     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::begin()
  0.00      0.00     0.00      686     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00      685     0.00     0.00  rp::GameObject::Draw()
  0.00      0.00     0.00      685     0.00     0.00  rp::GameObject::Update()
  0.00      0.00     0.00      685     0.00     0.00  rp::InputHandler::Clear()
  0.00      0.00     0.00      685     0.00     0.00  rp::CharacterSprite::GetFile()
  0.00      0.00     0.00      685     0.00     0.00  rp::RosenoernEngine::Update()
  0.00      0.00     0.00      685     0.00     0.00  rp::RosenoernEngine::SDLHandle()
  0.00      0.00     0.00      685     0.00     0.00  rp::Base::GetZ()
  0.00      0.00     0.00      685     0.00     0.00  rp::Base::Parse(std::vector<rp::Base*, std::allocator<rp::Base*> >&)
  0.00      0.00     0.00      685     0.00     0.00  rp::Base::GetName[abi:cxx11]()
  0.00      0.00     0.00      685     0.00     0.00  rp::Scene::SceneUpdate()
  0.00      0.00     0.00      685     0.00     0.00  rp::CppTools::BaseVectorSort(std::vector<rp::Base*, std::allocator<rp::Base*> >&)
  0.00      0.00     0.00      685     0.00     0.00  PngFile::GetPath[abi:cxx11]()
  0.00      0.00     0.00      685     0.00     0.00  void __gnu_cxx::new_allocator<rp::Base*>::construct<rp::Base*, rp::Base*>(rp::Base**, rp::Base*&&)
  0.00      0.00     0.00      685     0.00     0.00  __gnu_cxx::__normal_iterator<rp::Base**, std::vector<rp::Base*, std::allocator<rp::Base*> > >::operator*() const
  0.00      0.00     0.00      685     0.00     0.00  __gnu_cxx::__normal_iterator<rp::Base**, std::vector<rp::Base*, std::allocator<rp::Base*> > >::operator-(long) const
  0.00      0.00     0.00      685     0.00     0.00  void std::allocator_traits<std::allocator<rp::Base*> >::construct<rp::Base*, rp::Base*>(std::allocator<rp::Base*>&, rp::Base**, rp::Base*&&)
  0.00      0.00     0.00      685     0.00     0.00  rp::Base*& std::vector<rp::Base*, std::allocator<rp::Base*> >::emplace_back<rp::Base*>(rp::Base*&&)
  0.00      0.00     0.00      685     0.00     0.00  void std::vector<rp::Base*, std::allocator<rp::Base*> >::_M_realloc_insert<rp::Base*>(__gnu_cxx::__normal_iterator<rp::Base**, std::vector<rp::Base*, std::allocator<rp::Base*> > >, rp::Base*&&)
  0.00      0.00     0.00      685     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::back()
  0.00      0.00     0.00      685     0.00     0.00  std::vector<rp::Base*, std::allocator<rp::Base*> >::push_back(rp::Base*&&)
  0.00      0.00     0.00      685     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00      0.00     0.00      685     0.00     0.00  std::__cxx11::to_string(unsigned int)
  0.00      0.00     0.00      685     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int)
  0.00      0.00     0.00      685     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
  0.00      0.00     0.00      685     0.00     0.00  std::remove_reference<rp::Base*&>::type&& std::move<rp::Base*&>(rp::Base*&)
